Td		ID		Tj		Df		Dd		Db
11		2006		6		0		5		5

13		2004		6		0		7		7

13		2000		6		0		7		7

13		2001		6		0		7		7

14		2005		6		0		8		8

14		2013		9		0		5		5

15		2003		6		0		9		9

15		2009		9		0		6		6

16		5		6		0		10		10

19		2015		12		0		7		7

19		2017		12		0		7		7

20		2025		13		0		7		7

21		2011		9		0		12		12

21		7		6		0		15		15

22		2007		9		0		13		13

22		2022		13		0		9		9

24		2012		9		0		15		15

24		2019		12		0		12		12

25		2023		13		0		12		12

26		2014		12		0		14		14

26		2027		13		1		12		13

27		2044		19		0		8		8

27		2035		17		0		10		10

27		2		6		0		21		21

28		2026		13		0		15		15

29		2002		6		0		23		23

29		2033		16		0		13		13

29		2047		19		0		10		10

30		2043		19		1		10		11

30		2031		16		1		13		14

32		2040		17		0		15		15

33		2046		19		1		13		14

33		2038		17		0		16		16

33		25		13		0		20		20

34		2037		17		0		17		17

34		2024		13		0		21		21

35		2049		27		0		8		8

35		2029		16		0		19		19

35		2059		28		1		6		7

37		2054		27		0		10		10

38		2055		27		0		11		11

39		2008		9		0		30		30

39		2010		9		0		30		30

39		2036		17		1		21		22

39		38		17		0		22		22

40		2061		28		0		12		12

41		2030		16		0		25		25

42		2042		19		0		23		23

42		2060		28		0		14		14

44		2021		13		1		30		31

44		27		13		1		30		31

44		39		17		1		26		27

44		12		9		0		35		35

46		2018		12		1		33		34

46		2020		12		1		33		34

46		2066		40		0		6		6

46		2058		28		5		13		18

46		20		12		0		34		34

47		2062		28		0		19		19

48		2028		16		1		31		32

48		4		6		0		42		42

49		2053		27		0		22		22

49		2065		40		0		9		9

49		2045		19		0		30		30

50		2050		27		3		20		23

51		2051		27		2		22		24

51		2071		43		0		8		8

51		10		9		0		42		42

52		2048		19		2		31		33

52		2072		43		0		9		9

53		2074		43		0		10		10

54		2079		44		0		10		10

54		2034		16		0		38		38

54		2082		44		0		10		10

55		2094		47		0		8		8

55		2090		45		0		10		10

56		2096		47		0		9		9

56		2057		28		4		24		28

57		2016		12		0		45		45

57		2032		16		1		40		41

57		2063		40		1		16		17

57		2064		40		0		17		17

57		2052		27		0		30		30

57		56		27		2		28		30

58		2091		47		1		10		11

59		2070		43		0		16		16

59		2099		55		0		4		4

59		18		12		0		47		47

61		2056		28		4		29		33

64		2039		17		1		46		47

64		2124		60		0		4		4

67		2041		17		1		49		50

67		2123		60		0		7		7

68		2122		60		0		8		8

68		2106		58		0		10		10

69		2117		59		0		10		10

70		2116		59		0		11		11

70		2125		60		0		10		10

71		2127		63		0		8		8

72		2088		45		0		27		27

73		2140		66		0		7		7

73		2146		66		1		6		7

73		2144		66		0		7		7

74		2085		45		2		27		29

74		2134		65		0		9		9

76		2078		44		1		31		32

76		2080		44		1		31		32

76		33		16		1		59		60

76		46		19		1		56		57

77		2075		43		0		34		34

78		2068		40		0		38		38

78		52		27		2		49		51

81		2163		77		0		4		4

81		2073		43		0		38		38

82		2166		77		0		5		5

82		2158		76		0		6		6

83		2164		77		0		6		6

84		2095		47		0		37		37

85		2181		80		0		5		5

86		2172		79		0		7		7

87		2156		76		0		11		11

87		2167		77		0		10		10

90		2179		80		0		10		10

91		2093		47		2		42		44

91		2069		40		1		50		51

91		2187		83		0		8		8

91		2182		83		0		8		8

92		2081		44		0		48		48

94		2184		83		0		11		11

95		2105		58		2		35		37

95		2189		86		1		8		9

96		2200		88		0		8		8

97		2092		47		1		49		50

97		2114		59		2		36		38

98		2113		59		0		39		39

98		2190		86		0		12		12

99		2216		92		0		7		7

100		2197		88		0		12		12

101		2148		68		0		33		33

101		2139		65		0		36		36

101		2211		92		0		9		9

102		2120		60		2		40		42

102		2229		96		1		5		6

102		75		43		2		57		59

103		2112		59		0		44		44

103		2121		60		0		43		43

103		2221		94		0		9		9

104		2115		59		2		43		45

104		2234		98		0		6		6

104		2102		55		0		49		49

104		2226		96		1		7		8

104		2225		96		0		8		8

105		2232		98		0		7		7

105		2228		96		0		9		9

107		2230		96		0		11		11

107		2208		89		0		18		18

108		2076		43		0		65		65

109		72		43		2		64		66

112		2131		63		0		49		49

112		2143		66		0		46		46

112		2244		107		0		5		5

113		2142		66		2		45		47

113		2098		55		5		53		58

114		2101		55		5		54		59

114		2249		109		0		5		5

115		2136		65		0		50		50

115		2089		45		0		70		70

117		23		13		0		104		104

117		216		92		0		25		25

118		68		40		1		77		78

119		2097		47		2		70		72

119		245		107		0		12		12

123		2256		118		0		5		5

124		2137		65		3		56		59

124		2126		63		2		59		61

124		2255		118		0		6		6

124		153		68		4		52		56

125		2258		118		0		7		7

126		2100		55		1		70		71

126		2077		44		1		81		82

126		2253		118		0		8		8

126		236		98		0		28		28

126		257		118		0		8		8

127		250		109		0		18		18

128		119		59		4		65		69

129		2266		126		0		3		3

130		2087		45		2		83		85

130		2259		125		0		5		5

130		2263		125		0		5		5

131		2265		125		0		6		6

131		2175		80		0		51		51

132		2277		129		0		3		3

133		2108		58		0		75		75

133		2152		68		0		65		65

134		2235		98		0		36		36

134		2086		45		0		89		89

135		2227		96		0		39		39

135		103		55		3		77		80

135		260		125		0		10		10

136		2132		63		0		73		73

136		2084		45		0		91		91

136		2119		60		0		76		76

136		2278		129		0		7		7

138		2155		76		0		62		62

138		2083		44		0		94		94

139		2176		80		0		59		59

142		2067		40		0		102		102

142		270		126		0		16		16

