Td		ID		Tj		Df		Dd		Db
2		2002		1		0		1		1

3		2001		1		0		2		2

3		2004		1		0		2		2

3		2000		1		0		2		2

3		2006		1		0		2		2

3		2005		1		0		2		2

3		2003		1		0		2		2

4		2007		3		0		1		1

4		2013		3		0		1		1

4		2012		3		0		1		1

4		2010		3		0		1		1

5		2009		3		0		2		2

6		2008		3		0		3		3

6		2011		3		0		3		3

6		2014		5		0		1		1

6		2017		5		0		1		1

6		2016		5		0		1		1

7		2015		5		0		2		2

7		2019		5		1		1		2

8		2020		5		1		2		3

8		2023		7		0		1		1

8		2022		7		0		1		1

9		2018		5		0		4		4

10		2027		7		1		2		3

10		2021		7		0		3		3

11		2024		7		1		3		4

11		2025		7		1		3		4

11		2026		7		1		3		4

13		2030		12		0		1		1

13		2034		12		0		1		1

14		2028		12		0		2		2

14		2033		12		0		2		2

14		2035		13		0		1		1

14		2036		13		0		1		1

15		2029		12		0		3		3

15		2032		12		0		3		3

15		2037		13		0		2		2

16		2041		13		1		2		3

16		2031		12		0		4		4

17		2040		13		1		3		4

17		2038		13		1		3		4

18		2039		13		1		4		5

18		2045		17		0		1		1

19		2042		17		0		2		2

19		2049		18		0		1		1

19		2047		17		0		2		2

20		2048		17		1		2		3

20		2044		17		0		3		3

20		2052		18		1		1		2

20		2043		17		0		3		3

21		2056		20		0		1		1

21		2060		20		0		1		1

22		2050		18		1		3		4

22		2051		18		1		3		4

22		2061		20		0		2		2

22		2069		21		0		1		1

23		2054		18		1		4		5

23		2071		22		0		1		1

23		2066		21		0		2		2

24		2055		18		2		4		6

24		2046		17		1		6		7

24		2074		22		0		2		2

25		2063		21		1		3		4

25		2064		21		1		3		4

25		2065		21		1		3		4

25		2080		24		0		1		1

26		2068		21		2		3		5

26		2053		18		1		7		8

26		2078		24		0		2		2

28		2059		20		1		7		8

28		2073		22		3		3		6

28		2075		22		3		3		6

28		2084		28		0		0		0

28		2087		28		0		0		0

29		2067		21		2		6		8

29		2057		20		1		8		9

29		2058		20		1		8		9

29		2085		28		0		1		1

29		2090		28		0		1		1

29		2088		28		0		1		1

30		2062		20		1		9		10

30		2070		22		2		6		8

31		2072		22		3		6		9

31		2076		22		3		6		9

31		2077		24		3		4		7

31		2079		24		3		4		7

31		2082		24		3		4		7

33		2081		24		3		6		9

33		2083		24		3		6		9

33		2086		28		2		3		5

34		2091		31		1		2		3

34		2092		31		1		2		3

34		2094		31		1		2		3

35		2097		31		2		2		4

35		2089		28		2		5		7

35		2096		31		2		2		4

36		2093		31		1		4		5

36		2095		31		2		3		5

36		2099		35		0		1		1

38		2098		35		0		3		3

38		2101		35		1		2		3

39		2100		35		0		4		4

39		2102		35		1		3		4

40		2103		35		1		4		5

40		2104		35		1		4		5

Battle result: Win

 For Earth Army :
Total number of ES 14
Total number of ET 34
Total number of EG 53
percentage of destructed ES relative to their total 0
percentage of destructed ET relative to their total 20.5882
percentage of destructed EG relative to their total 24.5283
percentage of total destructed Earth units relative to their total 19.802
Average of Df for Earth army units -nan(ind)
Average of Dd for Earth army units -nan(ind)
Average of Db for Earth army units -nan(ind)
Df/Db percentage for Earth army -nan(ind)
Dd/Db percentage for Earth army -nan(ind)
For Alien Army :
Total number of AS 71
Total number of AM 18
Total number of AD 16
percentage of destructed AS relative to their total 100
percentage of destructed AM relative to their total 100
percentage of destructed AD relative to their total 100
percentage of total destructed Alien units relative to their total 100
Average of Df for Alien army units 0.733333
Average of Dd for Alien army units 2.73333
Average of Db for Alien army units 3.46667
Df/Db percentage for Alien army 0.211538
Dd/Db percentage for Alien army 0.788462
