Td		ID		Tj		Df		Dd		Db
3		2003		2		0		1		1

4		2001		2		0		2		2

4		2004		2		0		2		2

5		2012		3		0		2		2

6		2002		2		0		4		4

6		2005		2		0		4		4

6		2008		3		0		3		3

6		2013		3		0		3		3

6		2011		3		0		3		3

7		2009		3		0		4		4

7		2007		3		0		4		4

8		2000		2		0		6		6

8		2006		2		0		6		6

8		2010		3		0		5		5

13		2015		12		0		1		1

14		2014		12		0		2		2

15		2019		12		0		3		3

15		2027		14		0		1		1

16		2021		14		0		2		2

17		2017		12		0		5		5

17		2026		14		0		3		3

17		2020		12		0		5		5

17		2025		14		0		3		3

18		2034		16		0		2		2

19		2030		16		0		3		3

20		2032		16		0		4		4

21		2023		14		0		7		7

21		2024		14		0		7		7

21		2		2		0		19		19

22		2016		12		0		10		10

22		2035		20		0		2		2

22		2039		20		0		2		2

23		2018		12		0		11		11

23		2041		20		0		3		3

24		2040		20		0		4		4

24		2046		23		0		1		1

25		2022		14		0		11		11

25		2044		23		0		2		2

26		2042		23		0		3		3

26		4		2		0		24		24

27		2043		23		0		4		4

27		2054		25		0		2		2

27		2048		23		0		4		4

27		2051		25		0		2		2

27		2060		26		0		1		1

28		2050		25		0		3		3

28		2052		25		0		3		3

28		2056		26		0		2		2

28		16		12		0		16		16

29		2033		16		1		12		13

29		2057		26		0		3		3

29		2055		25		0		4		4

29		2058		26		0		3		3

29		2062		26		0		3		3

29		2049		25		0		4		4

29		2065		28		0		1		1

30		2069		28		0		2		2

30		2059		26		0		4		4

31		2061		26		0		5		5

31		2067		28		0		3		3

31		2068		28		0		3		3

32		2029		16		1		15		16

32		2031		16		1		15		16

33		2028		16		1		16		17

33		2072		32		0		1		1

34		2036		20		1		13		14

34		2071		32		0		2		2

34		2074		32		0		2		2

36		2053		25		1		10		11

36		2037		20		1		15		16

36		2045		23		1		12		13

36		2073		32		0		4		4

36		2082		35		0		1		1

36		2078		35		0		1		1

36		2079		35		0		1		1

36		2077		35		0		1		1

37		2047		23		1		13		14

37		2081		35		0		2		2

38		2066		28		2		8		10

38		2038		20		1		17		18

39		2064		28		2		9		11

40		2063		28		2		10		12

40		2070		32		1		7		8

41		2075		32		1		8		9

41		2088		39		0		2		2

41		2086		39		0		2		2

42		2090		39		0		3		3

43		2076		32		2		9		11

43		2084		39		0		4		4

43		2085		39		0		4		4

45		2080		35		1		9		10

45		2083		35		2		8		10

45		2087		39		1		5		6

45		2095		44		0		1		1

45		2092		44		0		1		1

47		2089		39		1		7		8

47		2094		44		0		3		3

47		2098		45		0		2		2

48		2091		44		0		4		4

48		2104		45		0		3		3

49		2105		46		0		3		3

49		2093		44		0		5		5

49		2108		46		0		3		3

49		2100		45		0		4		4

50		2097		44		0		6		6

50		2099		45		0		5		5

50		2102		45		0		5		5

50		2123		49		0		1		1

51		2111		46		0		5		5

51		2118		48		0		3		3

51		2107		46		0		5		5

52		2109		46		1		5		6

52		2101		45		1		6		7

52		2103		45		1		6		7

52		2096		44		0		8		8

52		2112		48		1		3		4

52		2110		46		0		6		6

52		2125		49		0		3		3

52		2122		49		0		3		3

52		25		14		0		38		38

53		2106		46		0		7		7

53		2119		49		0		4		4

53		2114		48		0		5		5

53		2113		48		2		3		5

53		2124		49		0		4		4

53		2117		48		0		5		5

53		2120		49		0		4		4

