Td		ID		Tj		Df		Dd		Db
9		5		5		0		4		4

10		2001		5		0		5		5

10		7		5		0		5		5

10		6		5		0		5		5

11		2000		5		0		6		6

13		2004		5		0		8		8

13		2013		8		0		5		5

14		14		8		0		6		6

15		2002		5		0		10		10

15		10		8		0		7		7

16		2003		5		0		11		11

16		2010		8		0		8		8

16		2012		8		0		8		8

16		2018		13		0		3		3

17		2020		13		0		4		4

17		2		5		0		12		12

17		3		5		0		12		12

18		9		8		0		10		10

18		16		13		0		5		5

19		2005		5		0		14		14

19		2006		5		0		14		14

19		2007		8		0		11		11

19		2017		13		0		6		6

19		2015		13		0		6		6

20		11		8		0		12		12

20		21		13		0		7		7

22		12		8		0		14		14

22		13		8		0		14		14

22		27		17		0		5		5

23		2025		17		0		6		6

23		2019		13		0		10		10

23		2014		13		0		10		10

23		2027		17		0		6		6

23		26		17		0		6		6

23		20		13		0		10		10

24		34		20		0		4		4

24		4		5		0		19		19

24		8		8		0		16		16

24		1		5		0		19		19

26		2016		13		0		13		13

26		2026		17		0		9		9

26		31		20		0		6		6

27		28		17		0		10		10

27		18		13		0		14		14

28		2024		17		0		11		11

28		35		20		0		8		8

28		17		13		0		15		15

29		2011		8		0		21		21

29		25		17		0		12		12

29		30		20		0		9		9

29		22		17		0		12		12

30		2008		8		0		22		22

30		2009		8		0		22		22

30		2028		20		0		10		10

30		23		17		0		13		13

30		29		20		0		10		10

30		32		20		0		10		10

30		15		13		0		17		17

31		24		17		0		14		14

32		2034		20		0		12		12

33		2029		20		1		12		13

33		2038		29		0		4		4

35		2036		29		0		6		6

35		2022		17		0		18		18

35		2032		20		0		15		15

36		2031		20		0		16		16

37		2048		33		0		4		4

37		39		29		0		8		8

37		41		29		0		8		8

38		2055		34		0		4		4

38		2021		17		2		19		21

39		2053		34		0		5		5

39		2049		34		0		5		5

39		48		33		0		6		6

40		2023		17		0		23		23

40		2033		20		0		20		20

40		2030		20		3		17		20

40		46		33		0		7		7

40		50		34		0		6		6

40		45		33		0		7		7

40		43		33		0		7		7

41		33		20		0		21		21

42		55		34		0		8		8

42		54		34		0		8		8

43		56		34		0		9		9

45		2056		39		0		6		6

45		2062		39		0		6		6

45		53		34		0		11		11

45		38		29		0		16		16

46		2044		33		0		13		13

46		62		39		0		7		7

49		59		39		0		10		10

49		60		39		0		10		10

50		57		39		0		11		11

51		2070		46		0		5		5

51		2045		33		0		18		18

51		69		44		0		7		7

52		2040		29		0		23		23

52		2076		46		0		6		6

52		2069		44		0		8		8

52		2071		46		0		6		6

53		2042		33		3		17		20

53		2039		29		0		24		24

54		2089		50		0		4		4

55		2065		44		0		11		11

55		74		46		0		9		9

55		73		46		0		9		9

55		77		46		0		9		9

55		65		44		0		11		11

56		2051		34		0		22		22

56		68		44		0		12		12

57		71		46		0		11		11

58		2043		33		3		22		25

58		64		44		0		14		14

58		88		50		0		8		8

58		81		49		0		9		9

59		89		50		0		9		9

60		2064		44		0		16		16

60		2079		49		0		11		11

60		2095		53		0		7		7

60		2088		50		1		9		10

60		79		49		0		11		11

60		83		49		0		11		11

60		85		50		0		10		10

61		2063		44		0		17		17

61		2085		50		2		9		11

61		92		53		0		8		8

62		2047		33		0		29		29

62		2081		49		0		13		13

62		93		53		0		9		9

63		2096		53		2		8		10

63		2094		53		0		10		10

63		2091		53		0		10		10

64		2066		44		0		20		20

64		2067		44		0		20		20

64		72		46		0		18		18

64		95		53		0		11		11

67		2078		49		0		18		18

68		2101		64		0		4		4

68		78		49		0		19		19

69		2104		64		0		5		5

69		2041		29		0		40		40

70		2086		50		0		20		20

70		2050		34		0		36		36

70		2074		46		0		24		24

71		97		53		1		17		18

72		2110		66		0		6		6

73		2054		34		0		39		39

73		2035		29		2		42		44

74		2037		29		2		43		45

74		47		33		0		41		41

74		91		50		0		24		24

74		112		66		0		8		8

74		61		39		0		35		35

75		109		66		0		9		9

75		103		64		0		11		11

75		108		66		0		9		9

75		67		44		0		31		31

75		63		39		0		36		36

75		84		49		0		26		26

75		52		34		0		41		41

75		105		64		0		11		11

76		2100		64		0		12		12

76		2060		39		0		37		37

78		2061		39		0		39		39

79		104		64		0		15		15

79		99		64		0		15		15

79		117		74		0		5		5

80		2105		66		0		14		14

80		2112		74		0		6		6

80		2115		74		0		6		6

81		2106		66		0		15		15

82		2109		66		0		16		16

82		2052		34		0		48		48

82		2125		75		0		7		7

82		118		74		0		8		8

84		2132		76		0		8		8

84		2123		75		0		9		9

84		2127		76		0		8		8

84		129		76		0		8		8

85		2124		75		0		10		10

87		2134		78		1		8		9

87		2140		79		0		8		8

88		2145		79		0		9		9

88		107		66		0		22		22

88		115		74		0		14		14

89		2059		39		0		50		50

89		2057		39		3		47		50

89		133		76		1		12		13

89		159		82		0		7		7

90		2046		33		0		57		57

90		2077		49		8		33		41

90		2149		81		0		9		9

90		2146		79		0		11		11

90		138		78		1		11		12

90		120		75		0		15		15

90		149		81		0		9		9

90		158		82		0		8		8

91		2083		49		0		42		42

91		143		79		0		12		12

92		2087		50		0		42		42

92		2158		82		1		9		10

92		116		74		0		18		18

92		119		74		0		18		18

92		174		87		0		5		5

93		2169		87		1		5		6

93		2151		81		0		12		12

93		2162		86		0		7		7

94		2166		86		0		8		8

95		2080		49		8		38		46

95		2161		86		0		9		9

95		2084		50		0		45		45

95		162		86		0		9		9

96		2175		91		0		5		5

96		168		86		0		10		10

96		169		87		0		9		9

97		2072		46		8		43		51

97		2179		91		0		6		6

97		2093		53		0		44		44

97		2187		92		0		5		5

98		130		76		1		21		22

99		2117		74		0		25		25

99		2192		93		0		6		6

99		175		87		0		12		12

100		111		66		0		34		34

101		94		53		1		47		48

101		160		82		1		18		19

101		184		92		0		9		9

101		177		91		0		10		10

102		2119		75		0		27		27

102		170		87		1		14		15

102		167		86		0		16		16

103		2090		50		0		53		53

103		147		79		1		23		24

103		191		93		0		10		10

104		2144		79		1		24		25

104		156		82		1		21		22

105		2147		81		0		24		24

105		2198		99		0		6		6

106		2068		44		0		62		62

107		2138		78		0		29		29

107		2075		46		0		61		61

107		2136		78		0		29		29

107		151		81		1		25		26

