Td		ID		Tj		Df		Dd		Db
9		6		7		0		2		2

9		3		7		0		2		2

10		10		8		0		2		2

10		7		7		0		3		3

11		4		7		0		4		4

11		1		7		0		4		4

11		5		7		0		4		4

12		9		8		0		4		4

12		14		8		0		4		4

13		8		8		0		5		5

14		13		8		0		6		6

14		19		12		0		2		2

14		20		12		0		2		2

14		21		12		0		2		2

14		12		8		0		6		6

14		2		7		0		7		7

15		18		12		1		2		3

17		23		15		0		2		2

18		15		12		0		6		6

18		29		16		0		2		2

19		33		16		0		3		3

20		16		12		0		8		8

20		25		15		0		5		5

20		30		16		0		4		4

20		47		19		0		1		1

22		40		18		0		4		4

22		51		21		0		1		1

24		59		23		0		1		1

25		60		23		0		2		2

26		62		23		0		3		3

26		43		19		2		5		7

26		31		16		0		10		10

27		49		19		2		6		8

28		24		15		0		13		13

29		53		21		2		6		8

29		56		21		2		6		8

29		22		15		0		14		14

30		28		15		0		15		15

30		68		27		0		3		3

31		41		18		2		11		13

31		55		21		0		10		10

31		66		27		0		4		4

31		54		21		2		8		10

31		64		27		0		4		4

32		32		16		0		16		16

32		45		19		0		13		13

32		27		15		0		17		17

34		63		23		2		9		11

34		71		33		0		1		1

34		46		19		0		15		15

36		42		18		2		16		18

37		44		19		2		16		18

37		83		35		0		2		2

37		74		33		0		4		4

37		82		35		0		2		2

38		48		19		2		17		19

38		79		35		0		3		3

38		81		35		1		2		3

39		17		12		0		27		27

39		38		18		0		21		21

39		36		18		2		19		21

39		37		18		2		19		21

39		26		15		0		24		24

39		57		23		2		14		16

39		58		23		2		14		16

39		80		35		0		4		4

40		61		23		2		15		17

40		35		16		0		24		24

41		69		27		3		11		14

41		72		33		2		6		8

41		84		35		0		6		6

41		97		40		0		1		1

41		94		40		0		1		1

42		76		33		2		7		9

42		98		40		0		2		2

43		78		35		2		6		8

43		77		33		0		10		10

44		88		39		0		5		5

45		95		40		0		5		5

46		104		43		0		3		3

46		93		40		0		6		6

47		110		44		1		2		3

50		105		43		1		6		7

50		124		48		0		2		2

50		101		43		0		7		7

50		111		44		0		6		6

51		106		44		0		7		7

51		102		43		1		7		8

51		123		48		0		3		3

51		112		44		0		7		7

52		120		48		0		4		4

52		107		44		1		7		8

53		125		48		1		4		5

53		139		52		0		1		1

53		138		52		0		1		1

53		118		47		0		6		6

55		99		43		0		12		12

55		108		44		1		10		11

55		113		47		0		8		8

55		143		54		0		1		1

55		136		52		0		3		3

56		126		48		0		8		8

57		121		48		1		8		9

58		128		50		1		7		8

58		103		43		0		15		15

58		100		43		13		2		15

59		129		50		1		8		9

60		142		54		0		6		6

60		119		47		0		13		13

60		154		59		0		1		1

61		114		47		0		14		14

61		132		50		3		8		11

61		109		44		0		17		17

61		144		54		0		7		7

61		70		27		0		34		34

62		145		54		2		6		8

62		153		59		0		3		3

62		65		27		0		35		35

62		131		50		0		12		12

62		75		33		0		29		29

62		133		50		0		12		12

62		92		40		2		20		22

63		39		18		0		45		45

64		127		50		1		13		14

64		122		48		1		15		16

64		50		21		0		43		43

64		116		47		6		11		17

64		73		33		0		31		31

64		158		63		0		1		1

64		91		39		0		25		25

65		135		52		2		11		13

65		155		63		0		2		2

65		52		21		0		44		44

65		87		39		0		26		26

66		149		59		1		6		7

66		130		50		2		14		16

66		89		39		0		27		27

66		96		40		0		26		26

66		67		27		0		39		39

67		147		54		2		11		13

68		151		59		2		7		9

68		137		52		2		14		16

68		141		54		2		12		14

68		146		54		2		12		14

68		86		39		27		2		29

69		150		59		1		9		10

69		148		59		1		9		10

69		156		63		2		4		6

69		160		63		2		4		6

70		152		59		2		9		11

70		161		63		0		7		7

71		157		63		2		6		8

71		159		63		2		6		8

Battle result: Loss

For Earth Army :
Total number of ES 68
Total number of ET 52
Total number of EG 33
Total number of HU 8
percentage of destructed ES relative to their total 100
percentage of destructed ET relative to their total 100
percentage of destructed EG relative to their total 100
percentage of total destructed Earth units relative to their total 100
Average of Df for Earth army units 0.862745
Average of Dd for Earth army units 9.54902
Average of Db for Earth army units 10.4118
Df/Db percentage for Earth army 0.0828625
Dd/Db percentage for Earth army 0.917137
For Alien Army :
Total number of AS 69
Total number of AM 46
Total number of AD 46
percentage of destructed AS relative to their total 0
percentage of destructed AM relative to their total 0
percentage of destructed AD relative to their total 0
percentage of total destructed Alien units relative to their total 0
Average of Df for Alien army units -nan(ind)
Average of Dd for Alien army units -nan(ind)
Average of Db for Alien army units -nan(ind)
Df/Db percentage for Alien army -nan(ind)
Dd/Db percentage for Alien army -nan(ind)
