Td		ID		Tj		Df		Dd		Db
4		2		4		0		0		0

4		7		4		0		0		0

4		1		4		0		0		0

5		3		4		0		1		1

5		5		4		0		1		1

5		6		4		0		1		1

11		13		11		0		0		0

11		14		11		0		0		0

11		11		11		0		0		0

11		9		11		0		0		0

11		12		11		0		0		0

12		8		11		0		1		1

12		10		11		0		1		1

13		16		13		0		0		0

13		20		13		0		0		0

13		17		13		0		0		0

14		15		13		0		1		1

14		19		13		0		1		1

14		21		13		0		1		1

16		18		13		0		3		3

16		24		16		0		0		0

16		26		16		0		0		0

16		23		16		0		0		0

16		27		16		0		0		0

17		22		16		0		1		1

17		33		17		0		0		0

17		32		17		0		0		0

18		34		17		0		1		1

18		29		17		0		1		1

18		35		17		0		1		1

21		38		21		0		0		0

21		39		21		0		0		0

21		30		17		0		4		4

21		25		16		0		5		5

23		46		23		0		0		0

23		48		23		0		0		0

23		43		23		0		0		0

23		44		23		0		0		0

23		47		23		0		0		0

23		49		23		0		0		0

23		36		21		0		2		2

26		50		26		0		0		0

27		56		26		0		1		1

27		52		26		0		1		1

27		53		26		0		1		1

27		59		27		0		0		0

27		54		26		0		1		1

27		57		27		0		0		0

27		51		26		0		1		1

28		58		27		0		1		1

28		62		27		0		1		1

28		63		27		0		1		1

28		60		27		0		1		1

29		69		29		0		0		0

29		37		21		0		8		8

29		55		26		0		3		3

29		41		21		0		8		8

29		42		21		0		8		8

30		66		29		0		1		1

30		65		29		0		1		1

30		68		29		0		1		1

30		64		29		0		1		1

34		31		17		0		17		17

34		45		23		0		11		11

34		74		34		0		0		0

34		61		27		0		7		7

34		75		34		0		0		0

34		76		34		0		0		0

35		81		35		0		0		0

35		78		35		0		0		0

35		82		35		0		0		0

35		71		34		0		1		1

35		83		35		0		0		0

36		79		35		0		1		1

37		85		37		0		0		0

37		87		37		0		0		0

37		88		37		0		0		0

37		91		37		0		0		0

38		89		37		0		1		1

38		90		37		0		1		1

40		97		40		0		0		0

40		98		40		0		0		0

40		72		34		0		6		6

40		92		40		0		0		0

41		93		40		0		1		1

41		73		34		0		7		7

41		84		35		0		6		6

41		96		40		0		1		1

Battle result: Loss

For Earth Army :
Total number of ES 57
Total number of ET 17
Total number of EG 17
Total number of HU 7
percentage of destructed ES relative to their total 100
percentage of destructed ET relative to their total 100
percentage of destructed EG relative to their total 100
percentage of total destructed Earth units relative to their total 100
Average of Df for Earth army units 0
Average of Dd for Earth army units 1.43182
Average of Db for Earth army units 1.43182
Df/Db percentage for Earth army 0
Dd/Db percentage for Earth army 1
For Alien Army :
Total number of AS 38
Total number of AM 30
Total number of AD 30
percentage of destructed AS relative to their total 0
percentage of destructed AM relative to their total 0
percentage of destructed AD relative to their total 0
percentage of total destructed Alien units relative to their total 0
Average of Df for Alien army units -nan(ind)
Average of Dd for Alien army units -nan(ind)
Average of Db for Alien army units -nan(ind)
Df/Db percentage for Alien army -nan(ind)
Dd/Db percentage for Alien army -nan(ind)
